item_ref,object_name,categories,constraints,type,max_field_size,field_name,description,foreign_key,expected_data,returns,cms,cms_field,cms_table,required_enabled,unique_enabled,primary_key,join_type,guidance
CINV007A,ssd_cin_visits,child_in_need|cin_plan|visit, ,nvarchar,48,cinv_person_id,Person Unique ID,ssd_cin_episodes.cine_person_id, ,Local,liquid_logic|mosaic,liquid_logic : cinv_person_id|mosaic : cinv_person_id, , , , , ,Person's ID generated in CMS Database
CINV003A,ssd_cin_visits,child_in_need|cin_plan|visit, ,datetime,NULL,cinv_cin_visit_date,CIN Visit Date, , ,Local,liquid_logic|mosaic,liquid_logic : cinv_cin_visit_date|mosaic : cinv_cin_visit_date,liquid_logic : ssd_cin_visits|mosaic : ssd_cin_visits, , , , ,Date of Visit
CINV004A,ssd_cin_visits,child_in_need|cin_plan|visit, ,nchar,1,cinv_cin_visit_seen,Child Seen, , ,AnnexA,liquid_logic|mosaic,liquid_logic : cinv_cin_visit_seen|mosaic : cinv_cin_visit_seen,liquid_logic : ssd_cin_visits|mosaic : ssd_cin_visits, , , , ,Was the child seen during this visit? Y/N
CINV005A,ssd_cin_visits,child_in_need|cin_plan|visit, ,nchar,1,cinv_cin_visit_seen_alone,Child Seen Alone, , ,Local,liquid_logic|mosaic,liquid_logic : cinv_cin_visit_seen_alone|mosaic : cinv_cin_visit_seen_alone,liquid_logic : ssd_cin_visits|mosaic : ssd_cin_visits, , , , ,Was the child seen alone during this visit? Y/N
CINV006A,ssd_cin_visits,child_in_need|cin_plan|visit, ,NCHAR,1,cinv_cin_visit_bedroom,Child Bedroom Seen, , ,Local,liquid_logic|mosaic,liquid_logic : cinv_cin_visit_bedroom|mosaic : cinv_cin_visit_bedroom,liquid_logic : ssd_cin_visits|mosaic : ssd_cin_visits, , , , ,Was the child's bedroom seen during this visit? Y/N
S47E001A,ssd_s47_enquiry,s47_enquiry|child_protection, ,nvarchar,48,s47e_s47_enquiry_id,S47 Enquiry ID, , ,Local,liquid_logic|mosaic,liquid_logic : s47e_s47_enquiry_id|mosaic : s47e_s47_enquiry_id,liquid_logic : ssd_s47_enquiry|mosaic : ssd_s47_enquiry,Yes,Yes,Yes, ,Row identifier for the ssd_s47_enquiry table.
S47E010A,ssd_s47_enquiry,s47_enquiry|child_protection, ,nvarchar,48,s47e_referral_id,Referral ID,ssd_cin_episodes.cine_referral_id, ,Local,liquid_logic|mosaic,liquid_logic : s47e_referral_id|mosaic : s47e_referral_id,liquid_logic : ssd_s47_enquiry|mosaic : ssd_s47_enquiry, , , , ,ID for linking to CIN Referral Episode
S47E002A,ssd_s47_enquiry,s47_enquiry|child_protection, ,nvarchar,48,s47e_person_id,Person Unique ID,ssd_person.pers_person_id, ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : s47e_person_id|mosaic : s47e_person_id,liquid_logic : ssd_s47_enquiry|mosaic : ssd_s47_enquiry,Yes, , , ,Person's ID generated in CMS Database
S47E004A,ssd_s47_enquiry,s47_enquiry|child_protection, ,datetime,NULL,s47e_s47_start_date,S47 Start Date, , ,CIN|RIIA|AnnexA,liquid_logic|mosaic,liquid_logic : s47e_s47_start_date|mosaic : s47e_s47_start_date,liquid_logic : ssd_s47_enquiry|mosaic : ssd_s47_enquiry, , , , ,Date of the strategy discussion at which the Section 47 Enquiries were initiated.
S47E005A,ssd_s47_enquiry,s47_enquiry|child_protection, ,datetime,NULL,s47e_s47_end_date,S47 End Date, , ,RIIA|AnnexA,liquid_logic|mosaic,liquid_logic : s47e_s47_end_date|mosaic : s47e_s47_end_date,liquid_logic : ssd_s47_enquiry|mosaic : ssd_s47_enquiry, , , , ,The actual date on which the S47 Enquiry is completed and authorised.
S47E006A,ssd_s47_enquiry,s47_enquiry|child_protection, ,nchar,1,s47e_s47_nfa,S47 NFA, , ,AnnexA,liquid_logic|mosaic,liquid_logic : s47e_s47_nfa|mosaic : s47e_s47_nfa,liquid_logic : ssd_s47_enquiry|mosaic : ssd_s47_enquiry, , , , ,Standalone field showing whether or not the S47 Enquiry resulted in No Further Action.
S47E007A,ssd_s47_enquiry,s47_enquiry|child_protection, ,nvarchar,1000,s47e_s47_outcome_json,S47 Outcome, , ,Local,liquid_logic|mosaic,liquid_logic : s47e_s47_outcome_json|mosaic : s47e_s47_outcome_json,liquid_logic : ssd_s47_enquiry|mosaic : ssd_s47_enquiry, , , , ,"Outcome of the Section 47 Enquiry. Combined dictionary/ json type containing the following, where there is a value recorded:
- NFA_FLAG
- LEGAL_ACTION_FLAG
- PROV_OF_SERVICES_FLAG
- PROV_OF_SB_CARE_FLAG
- CP_CONFERENCE_FLAG
- NFA_CONTINUE_SINGLE_FLAG
- MONITOR_FLAG
- OTHER_OUTCOMES_EXIST_FLAG
- TOTAL_NO_OF_OUTCOMES
- COMMENTS"
S47E008A,ssd_s47_enquiry,s47_enquiry|child_protection, ,nvarchar,100,s47e_s47_completed_by_worker_id,S47 Enquiries completed by worker,ssd_professionals.prof_professional_id, ,Local, ,liquid_logic : s47e_s47_completed_by_worker_name|mosaic : s47e_s47_completed_by_worker_name,liquid_logic : ssd_s47_enquiry|mosaic : ssd_s47_enquiry, , , , ,Section 47 Enquiry completed by Worker
S47E009A,ssd_s47_enquiry,s47_enquiry|child_protection, ,nvarchar,255,s47e_s47_completed_by_team,S47 Enquiries completed by team,ssd_department.dept_team_id, ,Local, ,liquid_logic : s47e_s47_completed_by_team_name|mosaic : s47e_s47_completed_by_team_name,liquid_logic : ssd_s47_enquiry|mosaic : ssd_s47_enquiry, , , , ,Section 47 Enquiry completed by Team
ICPC001A,ssd_initial_cp_conference,initial_cp_conference|child_protection, ,nvarchar,48,icpc_icpc_id,Initial CP Conference ID, , ,Local, , ,liquid_logic : ssd_initial_cp_conference|mosaic : ssd_initial_cp_conference, , ,Yes, ,Row identifier for the ssd_initial_cp_conference table
ICPC009A,ssd_initial_cp_conference, , ,nvarchar,48,icpc_icpc_meeting_id,Initial CP Conference Meeting ID, , ,Local, , ,liquid_logic : ssd_initial_cp_conference|mosaic : ssd_initial_cp_conference, , , , ,Identifier for the Initial CP Conference Meeting
ICPC002A,ssd_initial_cp_conference, , ,nvarchar,48,icpc_s47_enquiry_id,S47 Enquiry ID,ssd_s47_enquiry.s47e_s47_enquiry_id, ,RIIA,liquid_logic|mosaic, ,liquid_logic : ssd_initial_cp_conference|mosaic : ssd_initial_cp_conference, , , , ,ID for linking to Section 47 Enquiry
ICPC010A,ssd_initial_cp_conference,s47_enquiry|child_protection, ,nvarchar,48,icpc_person_id,Person Unique ID,ssd_person.pers_person_id, ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : icpc_person_id|mosaic : icpc_person_id,liquid_logic : ssd_initial_cp_conference|mosaic : ssd_initial_cp_conference,Yes, , , ,Person's ID generated in CMS Database
ICPC011A,ssd_initial_cp_conference,child_protection|cp_plan, ,nvarchar,48,icpc_cp_plan_id,CP Plan ID, , ,RIIA|AnnexA,liquid_logic|mosaic,liquid_logic : CPPL_cp_plan_id|mosaic : CPPL_cp_plan_id,liquid_logic : ssd_initial_cp_conference|mosaic : ssd_initial_cp_conference,Yes,Yes, , ,CP Plan ID for ICPC's resulting in a CP Plan
ICPC012A,ssd_initial_cp_conference, , ,nvarchar,48,icpc_referral_id,Referral ID,ssd_cin_episodes.cine_referral_id, ,Local,liquid_logic|mosaic,liquid_logic : icpc_referral_id|mosaic : icpc_referral_id,liquid_logic : ssd_initial_cp_conference|mosaic : ssd_initial_cp_conference, , , , ,ID for linking to CIN Referral Episode
ICPC003A,ssd_initial_cp_conference,initial_cp_conference|child_protection, ,nchar,1,icpc_icpc_transfer_in,Is this a transferred in ICPC?, , ,RIIA|AnnexA,liquid_logic|mosaic,liquid_logic : icpc_icpc_transfer_in|mosaic : icpc_icpc_transfer_in,liquid_logic : ssd_initial_cp_conference|mosaic : ssd_initial_cp_conference, , , , ,Is this is a transfer in ICPC? Y/N
ICPC004A,ssd_initial_cp_conference,initial_cp_conference|child_protection, ,datetime,NULL,icpc_icpc_target_date,Target ICPC date, , ,CIN,liquid_logic|mosaic,liquid_logic : icpc_icpc_target_date|mosaic : icpc_icpc_target_date,liquid_logic : ssd_initial_cp_conference|mosaic : ssd_initial_cp_conference, , , , ,"The date that is 15 working days after the strategy discussion at which section 47
enquiries were initiated."
ICPC005A,ssd_initial_cp_conference,initial_cp_conference|child_protection, ,datetime,NULL,icpc_icpc_date,Date of Initial CP Conference, , ,CIN|RIIA|AnnexA,liquid_logic|mosaic,liquid_logic : icpc_icpc_date|mosaic : icpc_icpc_date,liquid_logic : ssd_initial_cp_conference|mosaic : ssd_initial_cp_conference, , , , ,The date on which the initial child protection conference took place.
ICPC013A,ssd_initial_cp_conference, , ,nchar,1,icpc_icpc_outcome_cp_flag,ICPC Outcome CP Flag, , ,AnnexA, ,liquid_logic : icpc_icpc_outcome_cp_flag|mosaic : icpc_icpc_outcome_cp_flag,liquid_logic : ssd_initial_cp_conference|mosaic : ssd_initial_cp_conference, , , , ,Standalone field showing whether or not the ICPC resulted in a CP Plan
ICPC006A,ssd_initial_cp_conference,initial_cp_conference|child_protection, ,nvarchar,500,icpc_icpc_outcome_json,Outcome of Initial CP Conference, , ,AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : icpc_icpc_outcome_json|mosaic : icpc_icpc_outcome_json,liquid_logic : ssd_initial_cp_conference|mosaic : ssd_initial_cp_conference, , , , ,"Outcome of the Initial CP Conference. Combined dictionary/ json type containing the following, where there is a value recorded:
- NFA_FLAG
- REFERRAL_TO_OTHER_AGENCY_FLAG
- SINGLE_ASSESSMENT_FLAG
- PROV_OF_SERVICES_FLAG
- CP_FLAG
- OTHER_OUTCOMES_EXIST_FLAG
- TOTAL_NO_OF_OUTCOMES
- COMMENTS"
ICPC007A,ssd_initial_cp_conference,initial_cp_conference|child_protection, ,nvarchar,255,icpc_icpc_team,ICPC Completed by Team,ssd_department.dept_team_id, ,AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : icpc_icpc_team_name|mosaic : icpc_icpc_team_name,liquid_logic : ssd_initial_cp_conference|mosaic : ssd_initial_cp_conference, , , , ,Team responsible for organising ICPC
ICPC008A,ssd_initial_cp_conference,initial_cp_conference|child_protection, ,nvarchar,100,icpc_icpc_worker_id,ICPC Completed by Worker,ssd_professionals.prof_professional_id, ,AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : icpc_icpc_worker_name|mosaic : icpc_icpc_worker_name,liquid_logic : ssd_initial_cp_conference|mosaic : ssd_initial_cp_conference, , , , ,Worker who organised the ICPC
CPPL001A,ssd_cp_plans,child_protection|cp_plan, ,nvarchar,48,cppl_cp_plan_id,CP Plan ID, , ,Local,liquid_logic|mosaic,liquid_logic : cppl_cp_plan_id|mosaic : cppl_cp_plan_id,liquid_logic : ssd_cp_plans|mosaic : ssd_cp_plans,Yes,Yes,Yes, ,Row identifier for the ssd_cp_plans table
CPPL007A,ssd_cp_plans,child_protection|cp_plan, ,nvarchar,48,cppl_referral_id,Referral ID, , ,Local, ,liquid_logic : cppl_referral_id|mosaic : cppl_referral_id,liquid_logic : ssd_cp_plans|mosaic : ssd_cp_plans, , , , ,ID for linking to CIN Referral Episode
CPPL008A,ssd_cp_plans,child_protection|cp_plan, ,nvarchar,48,cppl_icpc_id,Initial CP Conference ID,ssd_initial_cp_conference.icpc_icpc_id, ,Local,liquid_logic|mosaic,liquid_logic : cppl_icpc_id|mosaic : cppl_icpc_id,liquid_logic : ssd_cp_plans|mosaic : ssd_cp_plans, , , , ,ID for linking to Initial CP Conference
CPPL002A,ssd_cp_plans,child_protection|cp_plan, ,nvarchar,48,cppl_person_id,Person Unique ID,ssd_person.pers_person_id, ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : cppl_person_id|mosaic : cppl_person_id,liquid_logic : ssd_cp_plans|mosaic : ssd_cp_plans,Yes, , , ,Person's ID generated in CMS Database
CPPL003A,ssd_cp_plans,child_protection|cp_plan, ,datetime,NULL,cppl_cp_plan_start_date,CP Plan Start Date, , ,CIN|AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : cppl_cp_plan_start_date|mosaic : cppl_cp_plan_start_date,liquid_logic : ssd_cp_plans|mosaic : ssd_cp_plans, , , , ,The Start Date of the Child Protection Plan.
CPPL004A,ssd_cp_plans,child_protection|cp_plan, ,datetime,NULL,cppl_cp_plan_end_date,CP Plan End Date, , ,CIN|AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : cppl_cp_plan_end_date|mosaic : cppl_cp_plan_end_date,liquid_logic : ssd_cp_plans|mosaic : ssd_cp_plans, , , , ,The End Date of the Child Protection Plan.
CPPL009A,ssd_cp_plans,child_protection|cp_plan, ,nvarchar,100,cppl_cp_plan_initial_category,CP Plan Initial Category of Abuse, , ,CIN|AnnexA, , ,liquid_logic : ssd_cp_plans|mosaic : ssd_cp_plans, , , , ,"The category of abuse as assessed when the child protection plan commenced.
Code set
- Neglect
- Physical abuse
- Sexual abuse
- Emotional abuse
- Multiple: [List of relevant categories]"
CPPL011A,ssd_cp_plans,child_protection|cp_plan, ,nchar,1,cppl_cp_plan_ola,OLA CP Plan?, , ,Local, , , , , , , , 
CPPL010A,ssd_cp_plans,child_protection|cp_plan, ,nvarchar,100,cppl_cp_plan_latest_category,CP Plan Latest Category of Abuse, , ,CIN|AnnexA, , ,liquid_logic : ssd_cp_plans|mosaic : ssd_cp_plans, , , , ,"The latest category of abuse recorded on the CP Plan, this may be the same as above.
Code set
- Neglect
- Physical abuse
- Sexual abuse
- Emotional abuse
- Multiple: [List of relevant categories]"
CPPV007A,ssd_cp_visits,child_protection|cp_plan|visit, ,nvarchar,48,cppv_cp_visit_id,Casenote ID (Visit record), , ,Local, , , , , ,Yes, ,Row identifier for the ssd_cp_visits table
CPPV008A,ssd_cp_visits,child_protection|cp_plan|visit, ,nvarchar,48,cppv_person_id,Person Unique ID,ssd_cp_plans.cppl_person_id, ,Local,liquid_logic|mosaic, , , , , , ,Person's ID generated in CMS Database
CPPV001A,ssd_cp_visits,child_protection|cp_plan|visit, ,nvarchar,48,cppv_cp_plan_id,CP Plan ID, , ,Local,liquid_logic|mosaic,liquid_logic : cppv_cp_plan_id|mosaic : cppv_cp_plan_id,liquid_logic : ssd_cp_visits|mosaic : ssd_cp_visits,Yes,Yes, , ,ID for linking to the CP Plan
CPPV003A,ssd_cp_visits,child_protection|cp_plan|visit, ,datetime,NULL,cppv_cp_visit_date,Date of Visit, , ,AnnexA,liquid_logic|mosaic,liquid_logic : cppv_cp_visit_date|mosaic : cppv_cp_visit_date,liquid_logic : ssd_cp_visits|mosaic : ssd_cp_visits, , , , ,Actual date of Visit
CPPV004A,ssd_cp_visits,child_protection|cp_plan|visit, ,nchar,1,cppv_cp_visit_seen,Child Seen, , ,Local,liquid_logic|mosaic,liquid_logic : cppv_cp_visit_seen|mosaic : cppv_cp_visit_seen,liquid_logic : ssd_cp_visits|mosaic : ssd_cp_visits, , , , ,Was the child seen during this visit? Y/N
CPPV005A,ssd_cp_visits,child_protection|cp_plan|visit, ,nchar,1,cppv_cp_visit_seen_alone,Child Seen Alone, , ,AnnexA,liquid_logic|mosaic,liquid_logic : cppv_cp_visit_seen_alone|mosaic : cppv_cp_visit_seen_alone,liquid_logic : ssd_cp_visits|mosaic : ssd_cp_visits, , , , ,Was the child seen alone during this visit? Y/N
CPPV006A,ssd_cp_visits,child_protection|cp_plan|visit, ,nchar,1,cppv_cp_visit_bedroom,Child Bedroom Seen, , ,Local,liquid_logic|mosaic,liquid_logic : cppv_cp_visit_bedroom|mosaic : cppv_cp_visit_bedroom,liquid_logic : ssd_cp_visits|mosaic : ssd_cp_visits, , , , ,Was the child's bedroom seen during this visit? Y/N
CPPR001A,ssd_cp_reviews,child_protection|cp_plan|review, ,nvarchar,48,cppr_cp_review_id,Review ID, , ,Local,liquid_logic|mosaic,liquid_logic : cppr_cp_review_id|mosaic : cppr_cp_review_id,liquid_logic : ssd_cp_reviews|mosaic : ssd_cp_reviews,Yes,Yes,Yes, ,Row identifier for the ssd_cp_reviews table
CPPR008A,ssd_cp_reviews,child_protection|cp_plan|review, ,nvarchar,48,cppr_person_id,Person Unique ID,ssd_cp_plans.cppl_person_id, ,Local,liquid_logic|mosaic,liquid_logic : cppr_person_id|mosaic : cppr_person_id, , , , , ,Person's ID generated in CMS Database
CPPR002A,ssd_cp_reviews,child_protection|cp_plan|review, ,nvarchar,48,cppr_cp_plan_id,CP Plan ID,ssd_cp_plans.cppl_cp_plan_id, ,Local,liquid_logic|mosaic,liquid_logic : cppr_cp_plan_id|mosaic : cppr_cp_plan_id,liquid_logic : ssd_cp_reviews|mosaic : ssd_cp_reviews, , , , ,ID for linking to the CP Plan
CPPR003A,ssd_cp_reviews,child_protection|cp_plan|review, ,datetime,NULL,cppr_cp_review_due,Review Due Date, , ,Local,liquid_logic|mosaic,liquid_logic : cppr_cp_review_due|mosaic : cppr_cp_review_due,liquid_logic : ssd_cp_reviews|mosaic : ssd_cp_reviews, , , , ,The due date of the review conference.
CPPR004A,ssd_cp_reviews,child_protection|cp_plan|review, ,datetime,NULL,cppr_cp_review_date,Date of Review, , ,CIN|AnnexA,liquid_logic|mosaic,liquid_logic : cppr_cp_review_date|mosaic : cppr_cp_review_date,liquid_logic : ssd_cp_reviews|mosaic : ssd_cp_reviews, , , , ,The actual date on which the Review Conference was held
CPPR009A,ssd_cp_reviews,child_protection|cp_plan|review, ,nvarchar,48,cppr_cp_review_meeting_id,CP Review Meeting ID, , ,Local, ,liquid_logic : cppr_cp_review_meeting_id|mosaic : cppr_cp_review_meeting_id, , , , , ,Identifier for the Review CP Conference Meeting
CPPR005A,ssd_cp_reviews,child_protection|cp_plan|review, ,nchar,1,cppr_cp_review_outcome_continue_cp,CP Plan to Continue?, , ,Local,liquid_logic|mosaic,liquid_logic : cppr_cp_review_outcome_continue_cp|mosaic : cppr_cp_review_outcome_continue_cp,liquid_logic : ssd_cp_reviews|mosaic : ssd_cp_reviews, , , , ,Was the outcome of the conference to continue the CP Plan? Y/N
CPPR006A,ssd_cp_reviews,child_protection|cp_plan|review, ,nchar,100,cppr_cp_review_quorate,Quorate?, , ,Local,liquid_logic|mosaic,liquid_logic : cppr_cp_review_quorate|mosaic : cppr_cp_review_quorate,liquid_logic : ssd_cp_reviews|mosaic : ssd_cp_reviews, , , , ,"Was the conference quorate?
The primary principle for determining quoracy is that there should be sufficient agencies or key disciplines present to enable safe decisions to be made in the individual circumstances. Minimum representation is Children's Social Care and at least two other agencies or key disciplines that have had direct contact with the child and family. In a case relating to fabricated or induced illness, it is important to ensure the paediatrician is able to attend."
CPPR007A,ssd_cp_reviews,child_protection|cp_plan|review, ,nchar,100,cppr_cp_review_participation,Child Participation at Review, , ,Local,liquid_logic|mosaic,liquid_logic : cppr_cp_review_participation|mosaic : cppr_cp_review_participation,liquid_logic : ssd_cp_reviews|mosaic : ssd_cp_reviews, , , , ,"(currently 'PLACEHOLDER_DATA' pending further development)
The Child/ Young Person's method of participation at review.
Code set
PN0 - Child aged under 4 at the time of the review
PN1 - Child physically attends and speaks for him or herself (Attendance).
PN2 - Child physically attends and an advocate speaks on his or her behalf. (Attendance views represented by advocate or Child Protection Adisor (CPA))
PN3 - Child attends and conveys his or her view symbolically (non-verbally) (Attendance symbols)
PN4 - Child physically attends but does not speak for him or herself, does not convey his or her view symbolically (non-verbally) and does not ask an advocate to speak for him or her (Attendance without contribution)
PN5 - Child does not attend physically but briefs an advocate to speak for him or her (Views represented by advocate or independent reviewing officer (IRO) through texting, written format, phone, audio/video, viewpoint)
PN6 - Child does not attend but conveys his or her feelings to the review by a facilitative medium (Texting the chair, written format, phone, audio/video, viewpoint)
PN7 - Child does not attend nor are his or her views conveyed to the review"
CLAE001A,ssd_cla_episodes,looked_after, ,nvarchar,48,clae_cla_episode_id,Episode ID, , ,RIIA,liquid_logic|mosaic,liquid_logic : clae_cla_episode_id|mosaic : clae_cla_episode_id,liquid_logic : ssd_cla_episodes|mosaic : ssd_cla_episodes,Yes,Yes,Yes, ,Row identifier for the ssd_cla_episodes table
CLAE002A,ssd_cla_episodes,looked_after, ,nvarchar,48,clae_person_id,Person Unique ID,ssd_person.pers_person_id, ,Local,liquid_logic|mosaic|eclipse|caredirector|azeus,liquid_logic : clae_person_id|mosaic : clae_person_id,liquid_logic : ssd_cla_episodes|mosaic : ssd_cla_episodes,Yes, , , ,Person's ID generated in CMS Database
CLAE003A,ssd_cla_episodes,looked_after, ,datetime,NULL,clae_cla_episode_start_date,Date Episode Commenced, , ,SSDA903|RIIA|AnnexA,liquid_logic|mosaic,liquid_logic : clae_cla_episode_start_date|mosaic : clae_cla_episode_start_date,liquid_logic : ssd_cla_episodes|mosaic : ssd_cla_episodes, , , , ,The date that CLA Episode began.
CLAE004A,ssd_cla_episodes,looked_after, ,nvarchar,100,clae_cla_episode_start_reason,Reason for New CLA Episode, , ,SSDA903|RIIA,liquid_logic|mosaic,liquid_logic : clae_cla_episode_start_reason|mosaic : clae_cla_episode_start_reason,liquid_logic : ssd_cla_episodes|mosaic : ssd_cla_episodes, , , , ,"Code Set
S - Started to be looked after
L - Change of legal status only
P - Change of placement and carer(s) only
T - Change of placement (but same carer(s)) only
B - Change of legal status and placement and carer(s) at the same time
U - Change of legal status and change of placement (but same carer(s)) at the same time

Use Code S where a child is starting to be looked-after for the first time, or had previously ceased to be looked-after, and is now starting to be looked-after again.
Also use code S when recording agreements to provide short-term placements (legal status V4), and for individual breaks under such an agreement, if these are being recorded separately (legal status V3).
Use Code L where there is a change of legal status, but the placement does not change. By ‘legal status’ we mean the legal status underlying the fact that the child is looked-after.
Use Code P where there is a change of placement and carer, but the legal status does not change. This would include the following scenarios:
• Move from one foster carer to another foster carer (for example, U3 to another U3 placement type code).
• Move from a foster carer to a children’s home (for example, U3 to K2 placement types).
In both scenarios there has been a change of carer. When a child is living independently, a new episode should be created each time they move, and code P should be used.
Use Code T where there is a change of placement, but the child remains with the same carer and the legal status does not change. This would include the following scenarios:
• Child moves to a new house with current foster carer (either inside or outside of local authority boundary).
• Child remains with same carer or within same setting but either the URN of the setting changes or the provider type changes (for example, a foster carer moves from an IFA to the local authority provider, or a placement for adoption transferring to a regional adoption agency, or an unregulated independent or
semi independent setting registering with Ofsted).
In both scenarios, the child has remained with the same carer, but for some other reason, a new placement is required on the SSDA903.
Use Code B where both legal status and placement change, with a change of carer, on the same day. The two changes do not need to be simultaneous or consequent one upon the other. The code simply reflects that there was a change in carer and a change in legal status, for whatever reason, on the same day.
Use Code U where both legal status and placement change on the same day, but the child remains with the same carer. The two changes do not need to be simultaneous or consequent one upon the other. The code simply reflects that there was a change in placement and a change in legal status, for whatever reason, on the same day."
CLAE009A,ssd_cla_episodes,looked_after, ,nvarchar,3,clae_cla_primary_need_code,CIN Primary Need Code, , ,SSDA903|AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : clae_cla_primary_need|mosaic : clae_cla_primary_need,liquid_logic : ssd_cla_episodes|mosaic : ssd_cla_episodes, , , , ,"Category of need (CIN) codes record the main reason why a child is being provided with services. This provides a further insight as to why a particular child is being looked-after.
Use the category of need code most relevant at the time the current period of being looked-after began. The category of need code relates to the reason the child originally became looked-after and should remain the same throughout their period of care.
Code set
N1 - Abuse or neglect
Child in need as a result of, or at risk of, abuse or neglect.
N2 - Child’s disability
Child and their family whose main need for children’s social care services arises out of the child’s disabilities, illness or intrinsic condition
N3 - Parental illness or disability
Child whose main need for children’s social care services arises because the capacity of their parent(s) or carer(s) to care for them is impaired by disability, illness, mental illness, or addictions
N4 - Family in acute stress
Child whose needs arise from living in a family going through a temporary crisis such that parenting capacity is diminished and some of the children’s needs are not being adequately met
N5 - Family dysfunction
Child whose needs arise mainly out of their living with a family where the parenting capacity is chronically inadequate
N6 - Socially unacceptable behaviour
Child and family whose need for children’s social care services arises primarily out of their behaviour impacting detrimentally on the community
N7 - Low income
Child, either living in a family or independently, whose need for children’s social care services arises mainly from being dependent on an income below the standard state entitlements
N8 - Absent parenting
Child whose need for children’s social care services arises mainly from having no parent(s) available to provide for them. A child whose parent(s) decide it is in the best interest for the child to be adopted would be included in this category"
CLAE005A,ssd_cla_episodes,looked_after, ,datetime,NULL,clae_cla_episode_ceased,Date Episode Ceased, , ,SSDA903|AnnexA|RIIA,liquid_logic|mosaic,liquid_logic : clae_cla_episode_ceased|mosaic : clae_cla_episode_ceased,liquid_logic : ssd_cla_episodes|mosaic : ssd_cla_episodes, , , , ,"This item records the date that each episode ended.
An episode cannot start and end on the same day. Where a child has not left care, a new episode must start on the same day as the previous episode finished.
When a child ceases to be looked-after because of adoption (reason episode ceased codes of E11 or E12), the date episode ceased is the date the court makes the adoption order.
When a child ceases to be looked-after because he/she dies whilst being looked-after (reason episode ceased code E2), the date episode ceased must be the same as the date of death as recorded on the death certificate."
